 ,Area,X,Y,Perim.
1,1054.213,131.636,482.422,119.841
2,1287.678,159.570,479.113,128.652
3,881.376,170.179,452.690,105.560
4,1360.975,235.632,496.400,131.490
5,1076.383,183.284,383.224,116.309
6,1394.456,175.224,392.152,132.349
7,1196.735,224.010,399.383,122.878
8,718.946,191.221,406.817,95.203
9,1650.996,179.260,428.139,144.525
10,1293.559,183.296,461.771,128.137
11,618.502,182.948,482.070,90.759
12,3578.441,217.124,446.637,212.552
13,1014.849,214.581,453.549,113.395
14,1958.664,209.197,475.902,160.294
15,1175.017,237.595,478.432,122.062
16,690.441,250.704,482.485,93.555
17,898.569,246.064,470.852,106.262
18,785.909,298.974,477.407,99.483
19,905.356,290.725,468.295,106.729
20,966.889,178.734,437.572,110.645
21,1204.879,200.620,471.380,124.135
22,431.186,223.328,474.733,73.855
23,677.773,214.427,467.932,92.781
24,1854.147,240.456,429.015,162.059
25,1481.779,259.127,433.178,141.044
26,775.050,262.337,404.251,100.204
27,499.507,275.642,418.752,80.416
28,722.113,282.850,447.131,95.350
29,1297.632,293.946,439.237,128.806
30,1279.081,300.549,417.722,128.240
31,369.201,278.475,403.587,68.248
32,484.576,294.802,403.398,78.488
33,882.733,287.046,380.704,105.599
34,450.642,358.184,402.915,75.224
35,1098.100,338.003,387.962,117.855
36,1070.501,343.911,389.640,115.986
37,589.545,359.989,372.870,86.324
38,280.973,346.749,371.637,59.489
39,970.509,305.026,346.596,110.504
40,603.118,286.883,356.838,87.527
41,442.045,223.710,312.281,74.688
42,753.332,337.502,311.593,97.725
43,1109.412,331.456,326.083,118.121
44,251.563,343.926,319.502,56.125
45,616.239,231.213,313.457,87.923
46,550.634,302.354,245.852,83.357
47,442.498,291.261,265.160,74.650
48,871.422,276.134,282.353,104.782
49,1225.692,261.820,308.243,124.127
50,206.318,249.888,297.982,51.425
51,504.936,253.379,295.287,79.965
52,1028.875,287.220,331.278,114.453
53,426.662,273.600,328.913,73.217
54,1054.665,302.497,328.784,116.386
55,509.913,317.636,320.032,80.067
56,409.921,306.570,294.747,71.779
57,880.471,284.874,313.580,105.377
58,352.912,303.229,280.043,67.385
59,1438.796,294.092,265.882,138.695
60,835.678,144.478,486.995,102.544
61,1423.866,311.098,465.807,139.354
62,802.197,330.945,467.653,100.366
63,1676.334,325.897,459.080,149.778
64,1053.308,314.242,372.841,117.033
65,331.195,339.686,369.955,65.078
66,766.453,251.569,313.319,98.254
67,1056.475,252.736,417.724,119.140
