 ,Area,X,Y,Perim.,Angle,Length
1,162.599,1278.947,1603.239,200.000,0,200
2,1191.955,387.045,733.603,128.525,0,0
3,409.776,401.857,720.094,72.616,0,0
4,268.813,433.198,729.067,58.458,0,0
5,321.920,437.550,732.286,63.547,0,0
6,595.322,408.326,729.784,86.445,0,0
7,485.174,418.044,727.126,78.059,0,0
8,592.699,404.067,735.770,87.305,0,0
9,335.688,389.784,788.664,64.623,0,0
10,480.585,398.659,778.668,77.634,0,0
11,814.306,421.861,758.997,104.095,0,0
12,188.169,431.287,768.826,48.525,0,0
13,746.119,415.978,772.236,97.108,0,0
14,1222.770,439.958,790.001,123.863,0,0
15,552.050,448.583,779.266,83.640,0,0
16,207.183,466.397,779.757,50.577,0,0
17,1226.049,468.470,786.468,138.365,0,0
18,1050.337,446.964,819.721,114.808,0,0
19,487.797,423.997,859.404,78.151,0,0
20,1274.566,428.502,840.985,128.704,0,0
21,596.633,456.271,835.927,90.084,0,0
22,946.746,479.352,824.573,109.372,0,0
23,506.155,521.457,874.811,79.699,0,0
24,1153.272,516.598,849.929,120.840,0,0
25,875.936,508.502,819.433,106.489,0,0
26,487.797,495.032,811.851,78.151,0,0
27,1347.998,507.692,763.563,135.826,0,0
28,852.333,518.219,788.016,103.779,0,0
29,374.371,497.423,794.405,71.049,0,0
30,994.607,550.833,773.054,111.840,0,0
31,809.717,557.386,781.370,100.940,0,0
32,658.264,568.421,780.567,90.680,0,0
33,348.801,545.749,786.795,66.313,0,0
34,610.402,556.789,791.103,89.999,0,0
35,650.396,595.422,800.521,90.680,0,0
36,462.883,602.914,794.839,78.531,0,0
37,371.748,629.705,768.976,68.341,0,0
38,507.466,612.413,757.352,80.022,0,0
39,587.454,582.721,777.328,85.845,0,0
40,1177.531,622.129,765.718,121.793,0,0
41,2179.351,603.251,766.226,172.819,0,0
42,2000.361,578.367,717.386,161.698,0,0
43,835.287,596.148,706.883,102.634,0,0
44,703.503,605.268,679.098,93.968,0,0
45,647.118,644.851,747.685,90.251,0,0
46,785.458,622.024,747.753,105.475,0,0
47,922.487,640.255,729.776,107.770,0,0
48,883.804,561.134,672.470,105.469,0,0
49,474.684,556.053,654.494,77.207,0,0
50,798.571,549.276,632.100,100.412,0,0
51,1199.823,578.410,640.486,122.780,0,0
52,1026.078,547.773,621.457,113.201,0,0
53,972.971,548.454,593.503,110.522,0,0
54,1054.271,615.385,634.818,115.456,0,0
55,771.689,600.556,627.785,98.329,0,0
56,516.645,654.725,758.463,81.111,0,0
57,1229.982,562.183,589.474,124.604,0,0
58,804.471,582.328,583.477,100.530,0,0
59,1408.317,632.389,689.307,132.994,0,0
60,462.883,591.995,596.519,76.257,0,0
61,1185.399,612.721,608.672,122.064,0,0
62,1373.568,611.741,583.278,131.563,0,0
63,1146.060,603.754,567.292,122.899,0,0
64,175.712,587.854,565.182,47.135,0,0
65,673.343,635.422,660.970,92.429,0,0
66,812.339,637.752,627.613,103.437,0,0
67,618.925,594.332,543.320,88.450,0,0
68,526.480,601.048,537.081,81.446,0,0
69,820.862,617.561,533.856,101.607,0,0
70,632.038,620.297,508.239,89.726,0,0
71,1136.226,644.564,475.034,120.390,0,0
72,980.839,640.327,457.778,111.775,0,0
73,1290.957,644.501,443.948,134.797,0,0
74,984.773,644.269,508.221,111.454,0,0
75,972.971,646.154,516.599,110.522,0,0
76,851.678,646.965,530.094,103.429,0,0
77,915.275,622.672,559.761,107.235,0,0
78,917.242,633.999,569.808,107.396,0,0
79,1193.267,653.704,565.192,125.443,0,0
80,689.734,683.692,519.284,94.178,0,0
81,621.548,682.591,527.126,88.499,0,0
82,941.500,679.630,554.934,108.713,0,0
83,1198.512,665.657,547.995,122.863,0,0
84,984.117,697.793,531.790,111.211,0,0
85,797.915,668.421,534.818,100.344,0,0
86,984.117,703.842,530.549,111.211,0,0
87,1296.858,739.943,524.922,135.225,0,0
88,1218.181,774.284,525.489,132.257,0,0
89,1525.677,726.930,554.247,144.661,0,0
90,407.809,648.754,597.976,71.577,0,0
91,757.265,700.829,569.634,97.699,0,0
92,668.754,774.899,554.656,91.865,0,0
93,605.157,758.298,553.214,89.554,0,0
94,942.156,661.547,607.859,108.971,0,0
95,563.196,654.244,634.188,84.198,0,0
96,964.448,653.212,656.451,110.218,0,0
97,1072.629,678.133,603.852,116.208,0,0
98,837.909,698.209,595.773,103.000,0,0
99,1174.253,686.007,629.967,121.460,0,0
100,813.650,706.069,586.009,100.994,0,0
101,1026.078,711.336,614.170,113.641,0,0
102,1163.107,726.939,636.428,122.053,0,0
103,966.415,745.749,642.915,111.055,0,0
104,998.541,684.790,646.160,111.957,0,0
105,894.950,710.526,641.700,108.176,0,0
106,1140.815,718.640,564.585,119.717,0,0
107,686.456,653.648,730.373,93.132,0,0
108,889.705,649.798,714.575,107.822,0,0
109,887.738,688.664,712.551,105.771,0,0
110,941.500,692.308,705.263,108.637,0,0
111,941.500,692.308,705.263,108.637,0,0
112,941.500,692.308,705.263,108.637,0,0
113,1138.193,687.053,688.073,122.984,0,0
114,776.935,670.645,709.113,98.899,0,0
115,774.968,661.738,688.259,98.695,0,0
116,883.148,689.897,731.886,106.993,0,0
117,639.250,674.742,747.616,89.782,0,0
118,1041.814,689.080,761.538,114.435,0,0
119,987.395,714.575,756.462,111.378,0,0
120,1121.146,727.297,764.138,119.203,0,0
121,984.117,731.179,739.260,111.298,0,0
122,279.959,723.095,719.579,59.271,0,0
123,405.842,738.845,754.509,71.922,0,0
124,788.736,740.091,717.800,103.699,0,0
125,761.199,702.995,658.461,97.913,0,0
126,830.697,714.335,670.842,102.013,0,0
127,962.481,723.887,670.445,109.821,0,0
128,710.059,734.633,667.815,94.348,0,0
129,654.985,741.097,673.478,90.714,0,0
130,415.676,754.486,685.425,72.252,0,0
131,879.870,761.522,666.972,105.755,0,0
132,279.959,757.903,644.283,59.271,0,0
133,327.820,769.770,644.805,64.459,0,0
134,346.834,754.251,719.433,67.955,0,0
135,243.898,754.656,706.073,55.145,0,0
136,515.989,942.752,530.178,81.751,0,0
137,679.900,942.694,522.884,93.863,0,0
138,793.326,935.008,517.028,100.085,0,0
139,653.018,933.859,508.502,90.669,0,0
140,782.835,924.563,491.250,100.979,0,0
141,529.102,912.132,501.471,81.592,0,0
142,811.684,910.249,485.148,100.876,0,0
143,891.672,887.957,492.308,105.778,0,0
144,359.291,889.233,489.811,69.920,0,0
145,664.164,899.326,477.063,91.473,0,0
146,603.845,887.156,460.407,90.006,0,0
147,863.479,866.540,450.446,106.946,0,0
148,988.707,858.377,461.550,113.545,0,0
149,1382.091,853.699,478.671,133.950,0,0
150,743.497,855.846,492.638,98.470,0,0
151,915.930,830.613,495.251,107.515,0,0
152,557.950,820.648,486.235,83.679,0,0
153,467.472,827.327,520.852,76.666,0,0
154,961.825,840.891,543.029,109.808,0,0
155,1302.759,810.931,551.012,135.271,0,0
156,734.974,830.341,556.767,98.197,0,0
157,748.742,796.761,563.968,96.816,0,0
158,1643.692,817.928,583.299,144.368,0,0
159,409.120,836.363,605.427,72.114,0,0
160,468.783,828.438,603.688,76.806,0,0
161,1026.078,803.434,542.505,116.274,0,0
162,708.748,791.263,549.282,96.719,0,0
163,538.937,810.335,614.992,82.293,0,0
164,416.988,806.591,607.984,72.731,0,0
165,869.380,790.768,628.340,104.576,0,0
166,1172.286,811.043,652.376,122.642,0,0
167,512.711,839.413,659.623,81.058,0,0
168,498.943,830.505,641.700,79.178,0,0
169,455.015,823.762,633.600,76.470,0,0
170,544.838,819.160,676.719,83.768,0,0
171,1002.475,852.362,701.703,112.996,0,0
172,678.588,789.697,731.088,92.796,0,0
173,531.725,835.223,700.000,84.472,0,0
174,933.633,797.815,671.011,108.196,0,0
175,1028.701,777.989,721.053,113.682,0,0
176,1013.621,806.439,711.592,113.205,0,0
177,614.991,830.920,696.083,88.857,0,0
178,839.876,798.785,700.000,102.599,0,0
179,971.660,775.542,691.139,116.101,0,0
180,770.378,847.656,714.597,98.482,0,0
181,637.283,844.278,721.951,89.583,0,0
182,671.376,840.706,717.537,91.943,0,0
183,793.326,832.599,742.791,99.942,0,0
184,1188.021,849.488,755.713,122.219,0,0
