 ,Area,X,Y,Perim.,Angle,Length
1,68.020,1030.358,1338.606,100.000,0,100.000
2,342.821,808.388,796.137,66.407,0,0.000
3,625.331,809.956,775.185,89.306,0,0.000
4,960.443,832.484,768.972,110.325,0,0.000
5,794.021,833.599,758.327,100.851,0,0.000
6,955.909,852.634,743.762,109.590,0,0.000
7,635.308,819.977,726.670,89.402,0,0.000
8,1095.577,833.314,737.544,119.283,0,0.000
9,505.162,820.874,704.313,79.549,0,0.000
10,446.212,858.976,707.148,74.866,0,0.000
11,783.138,837.373,714.814,103.724,0,0.000
12,619.890,831.242,704.723,88.473,0,0.000
13,1194.886,846.789,692.356,123.909,0,0.000
14,834.833,836.431,670.091,102.514,0,0.000
15,646.644,845.033,675.420,90.331,0,0.000
16,360.960,862.540,677.975,67.297,0,0.000
17,566.381,852.185,641.686,84.954,0,0.000
18,582.252,867.191,660.830,86.245,0,0.000
19,890.156,857.669,652.886,108.726,0,0.000
20,696.979,879.861,644.975,94.868,0,0.000
21,376.378,876.980,627.757,69.818,0,0.000
22,867.936,921.376,679.988,106.438,0,0.000
23,993.093,909.750,652.316,114.265,0,0.000
24,1336.821,971.536,650.098,129.958,0,0.000
25,1402.574,955.062,648.225,134.566,0,0.000
26,1281.045,964.482,656.709,127.000,0,0.000
27,1402.574,955.062,648.225,134.566,0,0.000
28,883.354,925.534,656.139,105.471,0,0.000
29,1304.172,925.524,623.921,128.870,0,0.000
30,1283.766,892.180,606.400,128.687,0,0.000
31,320.601,962.824,616.697,63.482,0,0.000
32,407.214,948.069,598.489,71.502,0,0.000
33,271.627,948.338,611.075,61.135,0,0.000
34,288.859,965.255,600.646,60.269,0,0.000
35,399.505,976.766,594.307,71.055,0,0.000
36,1044.788,972.302,589.985,114.489,0,0.000
37,730.989,971.042,601.613,95.704,0,0.000
38,401.772,982.417,599.662,70.945,0,0.000
39,384.540,982.308,584.346,69.574,0,0.000
40,1063.834,965.998,588.390,115.571,0,0.000
41,660.248,922.298,588.073,91.064,0,0.000
42,756.383,947.006,587.035,97.584,0,0.000
43,1401.667,918.458,590.568,132.902,0,0.000
44,1260.639,914.374,567.106,125.797,0,0.000
45,1051.137,895.961,630.032,117.131,0,0.000
46,1009.418,917.353,668.606,114.732,0,0.000
47,251.221,897.613,591.038,57.138,0,0.000
48,431.247,910.031,560.754,73.522,0,0.000
49,321.962,913.521,560.477,65.212,0,0.000
50,641.656,919.468,551.970,91.927,0,0.000
51,1051.590,907.122,551.852,114.966,0,0.000
52,1037.986,939.060,530.802,115.360,0,0.000
53,1178.108,958.396,551.454,121.874,0,0.000
54,594.042,928.364,542.634,86.423,0,0.000
55,633.947,979.489,555.716,89.490,0,0.000
56,377.285,938.763,565.321,70.173,0,0.000
57,576.810,913.699,516.500,85.489,0,0.000
58,862.948,890.719,525.015,104.704,0,0.000
59,565.927,916.165,529.619,84.467,0,0.000
60,375.924,903.176,515.883,68.809,0,0.000
61,335.566,897.825,539.668,64.860,0,0.000
62,739.152,1019.190,562.962,96.372,0,0.000
63,493.372,984.510,532.322,79.082,0,0.000
64,831.205,1017.650,519.895,102.393,0,0.000
65,723.280,1013.309,535.609,97.090,0,0.000
66,770.441,1003.664,553.682,99.828,0,0.000
67,826.217,1047.070,493.571,102.178,0,0.000
68,899.679,1037.365,511.904,106.372,0,0.000
69,399.505,1028.907,548.214,72.690,0,0.000
70,245.779,1036.362,524.607,55.556,0,0.000
71,759.558,1056.483,541.330,97.689,0,0.000
72,394.970,1055.624,549.228,70.401,0,0.000
73,741.419,1063.212,500.616,97.111,0,0.000
74,526.022,1075.961,533.861,81.320,0,0.000
75,418.550,1082.108,502.605,72.591,0,0.000
76,322.869,1090.908,510.637,63.940,0,0.000
77,399.505,1071.760,520.041,72.334,0,0.000
78,117.448,1061.144,525.978,38.291,0,0.000
79,1050.230,1114.330,520.762,114.898,0,0.000
80,607.193,1094.638,518.615,87.368,0,0.000
81,812.613,1122.278,491.577,102.320,0,0.000
82,286.591,1108.866,497.642,60.081,0,0.000
83,789.940,1116.497,487.205,99.792,0,0.000
84,201.793,1116.672,472.145,50.128,0,0.000
85,89.787,1102.954,488.718,33.460,0,0.000
86,210.409,1031.648,534.508,51.555,0,0.000
87,487.477,1127.779,465.726,78.684,0,0.000
88,784.952,1138.145,483.688,99.282,0,0.000
89,844.356,1192.772,407.122,105.231,0,0.000
90,915.097,1189.697,428.753,108.085,0,0.000
91,1176.294,1177.781,449.713,125.212,0,0.000
92,890.610,1175.889,462.748,107.411,0,0.000
93,1033.452,1231.657,480.470,116.191,0,0.000
94,337.380,1218.933,475.604,66.209,0,0.000
95,774.068,1208.671,498.043,99.787,0,0.000
96,1183.549,1176.093,488.215,121.830,0,0.000
97,337.833,1190.580,490.768,65.478,0,0.000
98,375.924,1165.525,510.185,68.833,0,0.000
99,599.937,1178.377,531.990,89.696,0,0.000
100,398.598,1198.368,545.790,70.866,0,0.000
101,831.659,1190.684,515.487,102.113,0,0.000
102,112.460,1198.861,530.930,37.628,0,0.000
103,860.227,1177.018,548.352,105.056,0,0.000
104,578.624,1162.381,562.045,85.362,0,0.000
105,762.278,1197.041,570.869,99.059,0,0.000
106,1135.028,1191.245,612.642,120.019,0,0.000
107,621.250,1187.949,622.076,88.201,0,0.000
108,1551.765,1172.956,578.870,142.329,0,0.000
109,916.911,1200.672,598.230,107.356,0,0.000
110,194.537,1207.323,609.807,51.620,0,0.000
111,429.433,1138.977,370.192,73.202,0,0.000
112,531.464,1138.540,360.748,81.813,0,0.000
113,375.471,1146.740,355.950,68.550,0,0.000
114,445.305,1161.418,357.839,74.968,0,0.000
115,631.226,1150.276,384.066,90.229,0,0.000
116,644.377,1160.698,370.814,89.916,0,0.000
117,625.331,1149.836,406.725,88.850,0,0.000
118,647.098,1139.131,434.301,90.152,0,0.000
119,1175.387,1155.989,425.599,127.008,0,0.000
120,314.253,1155.217,442.087,65.815,0,0.000
121,801.730,1133.328,447.290,105.146,0,0.000
122,222.199,1146.376,464.529,52.793,0,0.000
123,270.720,1146.809,448.031,59.232,0,0.000
124,606.739,1170.488,395.589,87.368,0,0.000
125,376.378,1162.146,414.814,68.742,0,0.000
126,606.739,1170.488,395.589,87.368,0,0.000
127,424.899,1168.356,383.015,73.177,0,0.000
128,1404.841,1121.629,512.796,138.722,0,0.000
129,277.522,974.073,538.046,59.008,0,0.000
130,939.584,992.254,536.787,108.789,0,0.000
131,721.013,823.782,522.291,95.273,0,0.000
132,537.359,834.006,521.548,81.951,0,0.000
133,446.212,858.931,535.107,74.888,0,0.000
134,480.675,866.766,535.602,77.702,0,0.000
135,1246.128,880.666,526.928,125.050,0,0.000
136,383.180,854.208,524.242,69.251,0,0.000
137,707.409,834.228,499.802,94.736,0,0.000
138,561.392,814.814,492.109,83.878,0,0.000
139,383.180,815.958,506.753,70.578,0,0.000
140,548.695,890.565,496.548,83.234,0,0.000
141,674.306,858.712,489.678,94.945,0,0.000
142,742.779,842.423,480.397,96.711,0,0.000
143,422.631,844.443,477.104,73.522,0,0.000
144,1125.959,879.563,510.987,120.104,0,0.000
145,1261.092,856.691,500.472,125.811,0,0.000
146,705.141,890.355,476.547,95.272,0,0.000
147,509.697,865.992,461.952,79.869,0,0.000
148,671.131,858.377,477.787,92.069,0,0.000
149,1594.844,838.377,470.168,141.711,0,0.000
150,1474.675,905.049,439.057,136.867,0,0.000
151,836.193,777.777,453.066,106.473,0,0.000
152,1497.802,787.784,460.135,137.538,0,0.000
153,1455.630,791.245,468.350,135.634,0,0.000
154,1081.066,826.041,468.260,117.831,0,0.000
155,901.493,828.282,458.249,107.540,0,0.000
156,703.328,889.224,456.136,93.865,0,0.000
157,1121.424,844.364,424.020,118.935,0,0.000
158,1017.580,863.094,434.029,113.752,0,0.000
159,161.888,791.370,433.951,45.167,0,0.000
160,718.292,818.963,401.455,94.900,0,0.000
161,1833.368,807.743,427.946,153.573,0,0.000
162,1376.726,820.964,429.950,131.981,0,0.000
163,392.249,845.344,452.709,70.541,0,0.000
164,405.400,804.376,417.508,71.257,0,0.000
165,766.360,946.800,356.565,98.081,0,0.000
166,357.332,956.126,378.234,67.119,0,0.000
167,212.676,960.194,366.533,51.770,0,0.000
168,882.901,932.887,381.730,105.303,0,0.000
169,248.953,945.524,382.562,56.052,0,0.000
170,500.628,938.583,370.033,79.313,0,0.000
171,996.267,928.716,404.259,112.336,0,0.000
172,535.545,929.042,408.644,81.985,0,0.000
173,818.055,921.663,417.508,101.289,0,0.000
174,911.923,906.370,419.322,107.264,0,0.000
175,1340.902,902.722,402.817,133.192,0,0.000
176,789.486,832.548,322.686,100.938,0,0.000
177,486.570,869.022,322.222,78.586,0,0.000
178,867.936,820.783,334.923,105.141,0,0.000
179,410.841,846.245,320.575,73.288,0,0.000
180,1654.702,839.075,345.218,145.854,0,0.000
181,800.823,824.241,359.595,101.482,0,0.000
182,529.650,814.879,340.022,81.992,0,0.000
183,423.085,811.212,344.341,72.949,0,0.000
184,185.468,811.110,354.660,48.046,0,0.000
185,883.354,877.103,336.122,105.570,0,0.000
186,319.694,903.156,323.882,66.385,0,0.000
187,747.767,903.578,333.674,97.157,0,0.000
188,1543.602,879.362,351.726,139.291,0,0.000
189,263.464,895.383,381.579,57.514,0,0.000
190,688.363,887.443,366.329,93.036,0,0.000
191,797.195,836.362,391.678,100.104,0,0.000
192,691.537,830.185,388.435,93.124,0,0.000
193,800.823,830.392,365.534,102.214,0,0.000
194,634.854,876.287,410.968,89.405,0,0.000
195,726.908,868.349,403.246,95.464,0,0.000
196,428.526,848.028,372.172,73.112,0,0.000
197,517.406,857.995,382.675,80.640,0,0.000
198,428.980,861.952,384.325,73.532,0,0.000
199,595.402,878.450,370.707,86.827,0,0.000
200,700.153,867.910,389.898,93.802,0,0.000
201,1003.523,865.974,347.377,113.824,0,0.000
202,614.448,881.904,432.659,87.849,0,0.000
