 ,Area,X,Y,Perim.,Angle,Length
222,68.021,1033.76,1336.456,100,-0.387,100
1,1253.595,874.51,353.17,131.588,0,0
2,178.955,848.157,364.507,48.096,0,0
3,664.688,820.252,365.95,91.472,0,0
4,452.865,836.805,381.072,75.406,0,0
5,902.99,852.522,398.651,107.047,0,0
6,962.794,915.857,405.058,110.282,0,0
7,1057.293,752.191,409.431,118.521,0,0
8,574.755,817.723,411.48,85.045,0,0
9,585.255,909.789,414.52,87.234,0,0
10,243.78,827.123,418.909,55.385,0,0
11,706.231,773.51,420.816,94.482,0,0
12,220.041,844.575,421.086,52.975,0,0
13,900.708,867.549,423.293,106.628,0,0
14,1302.899,788.496,425.666,138.386,0,0
15,545.081,751.658,425.833,83.448,0,0
16,797.991,877.49,428.213,102.349,0,0
17,1015.75,801.336,430.569,113.069,0,0
18,747.774,856.562,438.337,97.226,0,0
19,690.253,864.507,438.504,93.222,0,0
20,1005.25,903.525,443.433,112.564,0,0
21,584.798,759.638,444.563,87.219,0,0
22,1039.032,850.18,445.729,114.874,0,0
23,624.971,802.695,454.724,90.181,0,0
24,1191.965,933.087,455.403,123.158,0,0
25,568.82,834.103,460.125,85.813,0,0
26,1007.533,774.132,460.319,112.575,0,0
27,627.711,883.877,461.507,91.307,0,0
28,532.755,846.958,463.966,86.493,0,0
29,434.604,780.532,464.538,77.632,0,0
30,509.473,797.279,464.179,79.878,0,0
31,625.428,935.309,472.624,88.775,0,0
32,475.234,844.733,473.78,77.459,0,0
33,285.323,881.932,477.328,60.674,0,0
34,397.626,775.647,481.271,70.705,0,0
35,384.844,864.847,481.297,69.776,0,0
36,674.732,832.082,484.896,92.306,0,0
37,1155.9,741.875,485.462,120.736,0,0
38,676.558,1026.134,490.867,92.403,0,0
39,591.189,788.975,492.897,86.358,0,0
40,687.058,842.021,494.25,93.79,0,0
41,882.447,769.239,496.948,108.121,0,0
42,207.259,727.686,499.499,50.938,0,0
43,745.035,1011.801,503.367,97.192,0,0
44,774.252,750.321,505.394,99.851,0,0
45,786.578,819.399,506.922,99.36,0,0
46,645.515,764.034,512.964,90.14,0,0
47,808.948,814.663,514.515,100.995,0,0
48,1632.047,856.261,515.226,143.884,0,0
49,295.823,784.442,516.363,60.958,0,0
50,595.754,805.395,517.058,86.54,0,0
51,579.32,1036.129,518.222,85.54,0,0
52,409.496,741.722,518.402,71.725,0,0
53,356.996,1046.796,525.186,66.985,0,0
54,193.107,1031.536,528.348,49.367,0,0
55,601.233,741.689,531.905,87.257,0,0
56,1069.162,781.786,532.971,122.188,0,0
